,hhid,group_id_x,totformalborrow_24,totinformalborrow_24,hhinc,hhnomembers_x,survey_round,hhinc_24,totformalborrow_24_top_coded,totinformalborrow_24_top_coded,hhinc_top_coded,hhinc_24_top_coded,total_borrowed_amount,pair_id,treated,daily_per_capita_income,below_poverty_line,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
86,6846.0,137.0,50000,7000,1200,5,Endline II,28800,50000.0,7000.0,1200.0,28800.0,57000,14,1,8.0,0,Male (1),39.0,10 years,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
87,7040.0,21.0,50000,2000,2000,5,Endline I,48000,50000.0,2000.0,2000.0,48000.0,52000,26,0,13.333333333333334,0,Male (1),65.0,3-7 years (Classes 1-5),1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
88,7046.0,98.0,128000,30000,2000,4,Endline II,48000,128000.0,30000.0,2000.0,48000.0,158000,16,1,16.666666666666668,0,Male (1),45.0,0 years,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,7057.0,94.0,95000,30000,3500,5,Endline I,84000,95000.0,30000.0,3500.0,84000.0,125000,20,1,23.333333333333336,0,Female (0),38.0,3-7 years (Classes 1-5),1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
90,7092.0,76.0,50000,30000,1560,2,Endline II,37440,50000.0,30000.0,1560.0,37440.0,80000,5,0,26.0,0,Male (1),60.0,0 years,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,7290.0,35.0,183000,30000,17500,6,Endline I,420000,183000.0,30000.0,17500.0,420000.0,213000,34,1,97.22222222222223,1,Male (1),50.0,13 years,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
92,7364.0,22.0,50000,30000,3500,6,Endline I,84000,50000.0,30000.0,3500.0,84000.0,80000,26,1,19.444444444444446,0,Male (1),35.0,0 years,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
93,7427.0,22.0,13000,101000,7500,4,Endline I,180000,13000.0,101000.0,7500.0,180000.0,114000,26,1,62.5,1,Male (1),66.0,8 years,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
94,7473.0,98.0,50000,30000,1000,1,Endline II,24000,50000.0,30000.0,1000.0,24000.0,80000,16,1,33.333333333333336,1,Female (0),70.0,0 years,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,7489.0,134.0,15000,85000,6700,3,Endline II,160800,15000.0,85000.0,6700.0,160800.0,100000,21,0,74.44444444444444,1,Male (1),32.0,9 years,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
